,Kontrakt,Termin wygasania,Otwarcie,Max,Min,Kurs,Zmiana,Wolumen (poprz. sesja),LOP (poprz. sesja),Zmiana LOP,Data
56,GVX29.F,lis 2029,27.267,27.267,27.267,27.267,+1.14%,0.0,60.0,0.0,18 lut
57,GVZ29.F,gru 2029,27.367,27.367,27.367,27.367,+1.17%,0.0,60.0,0.0,18 lut
58,GVF30.F,sty 2030,26.599,26.599,26.599,26.599,+1.74%,,,,18 lut
59,GVG30.F,lut 2030,26.8,26.8,26.8,26.8,+1.73%,,,,18 lut
60,GVH30.F,mar 2030,26.521,26.521,26.521,26.521,+1.75%,,,,18 lut
61,GVJ30.F,kwi 2030,25.819,25.819,25.819,25.819,+1.79%,,,,18 lut
62,GVK30.F,maj 2030,25.388,25.388,25.388,25.388,+1.82%,,,,18 lut
63,GVM30.F,cze 2030,24.944,24.944,24.944,24.944,+1.86%,,,,18 lut
64,GVN30.F,lip 2030,24.749,24.749,24.749,24.749,+1.87%,,,,18 lut
65,GVQ30.F,sie 2030,24.935,24.935,24.935,24.935,+1.86%,,,,18 lut
66,GVU30.F,wrz 2030,25.481,25.481,25.481,25.481,+1.82%,,,,18 lut
67,GVV30.F,paź 2030,27.531,27.531,27.531,27.531,+1.68%,,,,18 lut
68,GVX30.F,lis 2030,28.189,28.189,28.189,28.189,+1.64%,,,,18 lut
69,GVZ30.F,gru 2030,28.284,28.284,28.284,28.284,+1.63%,,,,18 lut
70,GVF31.F,sty 2031,28.028,28.028,28.028,28.028,+6.46%,,,,18 lut
71,GVG31.F,lut 2031,28.441,28.441,28.441,28.441,+6.36%,,,,18 lut
