,Kontrakt,Termin wygasania,Otwarcie,Max,Min,Kurs,Zmiana,Wolumen (poprz. sesja),LOP (poprz. sesja),Zmiana LOP,Data
18,GVU26.F,wrz 2026,37.033,37.033,37.033,37.033,+0.25%,0.0,575.0,0.0,20 lut
19,GVV26.F,paź 2026,38.329,38.329,38.329,38.329,0.00%,0.0,500.0,0.0,20 lut
20,GVX26.F,lis 2026,37.93,37.93,37.93,37.93,-0.01%,0.0,500.0,0.0,20 lut
21,GVZ26.F,gru 2026,37.323,37.323,37.323,37.323,+0.21%,0.0,500.0,0.0,20 lut
22,GVF27.F,sty 2027,37.671,37.671,37.671,37.671,-0.03%,0.0,285.0,0.0,20 lut
23,GVG27.F,lut 2027,37.161,37.161,37.161,37.161,+0.25%,0.0,285.0,0.0,20 lut
24,GVH27.F,mar 2027,36.215,36.215,36.215,36.215,+0.27%,0.0,285.0,0.0,20 lut
25,GVJ27.F,kwi 2027,31.692,31.692,31.692,31.692,+0.63%,0.0,230.0,0.0,20 lut
26,GVK27.F,maj 2027,30.432,30.432,30.432,30.432,+0.66%,0.0,230.0,0.0,20 lut
27,GVM27.F,cze 2027,30.298,30.298,30.298,30.298,+0.66%,0.0,230.0,0.0,20 lut
28,GVN27.F,lip 2027,31.338,31.338,31.338,31.338,+0.62%,0.0,230.0,0.0,20 lut
29,GVQ27.F,sie 2027,31.283,31.283,31.283,31.283,+0.62%,0.0,230.0,0.0,20 lut
30,GVU27.F,wrz 2027,31.424,31.424,31.424,31.424,+0.61%,0.0,230.0,0.0,20 lut
31,GVV27.F,paź 2027,31.362,31.362,31.362,31.362,+0.99%,0.0,240.0,0.0,20 lut
32,GVX27.F,lis 2027,31.877,31.877,31.877,31.877,+0.97%,0.0,240.0,0.0,20 lut
33,GVZ27.F,gru 2027,32.113,32.113,32.113,32.113,+0.97%,0.0,240.0,0.0,20 lut
34,GVF28.F,sty 2028,32.881,32.881,32.881,32.881,+0.46%,0.0,55.0,0.0,20 lut
35,GVG28.F,lut 2028,32.621,32.621,32.621,32.621,+0.49%,0.0,55.0,0.0,20 lut
36,GVH28.F,mar 2028,30.935,30.935,30.935,30.935,+0.52%,0.0,55.0,0.0,20 lut
37,GVJ28.F,kwi 2028,28.491,28.491,28.491,28.491,+2.22%,0.0,45.0,0.0,20 lut
38,GVK28.F,maj 2028,27.747,27.747,27.747,27.747,+2.28%,0.0,45.0,0.0,20 lut
39,GVM28.F,cze 2028,27.789,27.789,27.789,27.789,+2.29%,0.0,45.0,0.0,20 lut
40,GVN28.F,lip 2028,27.788,27.788,27.788,27.788,+2.29%,0.0,45.0,0.0,20 lut
41,GVQ28.F,sie 2028,28.091,28.091,28.091,28.091,+2.29%,0.0,45.0,0.0,20 lut
42,GVU28.F,wrz 2028,28.213,28.213,28.213,28.213,+2.28%,0.0,45.0,0.0,20 lut
43,GVV28.F,paź 2028,28.09,28.09,28.09,28.09,+1.85%,0.0,195.0,0.0,20 lut
44,GVX28.F,lis 2028,28.396,28.396,28.396,28.396,+1.83%,0.0,195.0,0.0,20 lut
45,GVZ28.F,gru 2028,28.693,28.693,28.693,28.693,+1.81%,0.0,195.0,0.0,20 lut
46,GVF29.F,sty 2029,28.584,28.584,28.584,28.584,+1.93%,0.0,210.0,0.0,20 lut
47,GVG29.F,lut 2029,28.357,28.357,28.357,28.357,+1.94%,0.0,210.0,0.0,20 lut
48,GVH29.F,mar 2029,28.179,28.179,28.179,28.179,+1.97%,0.0,210.0,0.0,20 lut
49,GVJ29.F,kwi 2029,26.387,26.387,26.387,26.387,+2.16%,0.0,60.0,0.0,20 lut
50,GVK29.F,maj 2029,25.937,25.937,25.937,25.937,+2.22%,0.0,60.0,0.0,20 lut
51,GVM29.F,cze 2029,25.242,25.242,25.242,25.242,+2.28%,0.0,60.0,0.0,20 lut
52,GVN29.F,lip 2029,25.485,25.485,25.485,25.485,+1.87%,0.0,60.0,0.0,20 lut
53,GVQ29.F,sie 2029,24.985,24.985,24.985,24.985,+2.33%,0.0,60.0,0.0,20 lut
54,GVU29.F,wrz 2029,25.035,25.035,25.035,25.035,+2.32%,0.0,60.0,0.0,20 lut
55,GVV29.F,paź 2029,27.014,27.014,27.014,27.014,-0.50%,0.0,60.0,0.0,20 lut
56,GVX29.F,lis 2029,27.08,27.08,27.08,27.08,-0.50%,0.0,60.0,0.0,20 lut
57,GVZ29.F,gru 2029,27.18,27.18,27.18,27.18,-0.50%,0.0,60.0,0.0,20 lut
58,GVF30.F,sty 2030,26.244,26.244,26.244,26.244,-0.25%,,,,20 lut
59,GVG30.F,lut 2030,26.445,26.445,26.445,26.445,-0.25%,,,,20 lut
60,GVH30.F,mar 2030,26.166,26.166,26.166,26.166,-0.25%,,,,20 lut
61,GVJ30.F,kwi 2030,25.464,25.464,25.464,25.464,-0.26%,,,,20 lut
62,GVK30.F,maj 2030,25.033,25.033,25.033,25.033,-0.26%,,,,20 lut
63,GVM30.F,cze 2030,24.589,24.589,24.589,24.589,-0.27%,,,,20 lut
64,GVN30.F,lip 2030,24.394,24.394,24.394,24.394,-0.27%,,,,20 lut
65,GVQ30.F,sie 2030,24.58,24.58,24.58,24.58,-0.27%,,,,20 lut
66,GVU30.F,wrz 2030,25.126,25.126,25.126,25.126,-0.26%,,,,20 lut
67,GVV30.F,paź 2030,27.176,27.176,27.176,27.176,-0.24%,,,,20 lut
68,GVX30.F,lis 2030,27.834,27.834,27.834,27.834,-0.24%,,,,20 lut
69,GVZ30.F,gru 2030,27.929,27.929,27.929,27.929,-0.24%,,,,20 lut
70,GVF31.F,sty 2031,26.933,26.933,26.933,26.933,-2.91%,,,,20 lut
71,GVG31.F,lut 2031,27.345,27.345,27.345,27.345,-2.86%,,,,20 lut
